GLOSSARY_ID,AIRCRAFT,FULL_NAME,WEBSITE_LINK,AIRCRAFT_TYPE
1,B29,Boeing B-29 Superfortress,https://en.wikipedia.org/wiki/Boeing_B-29_Superfortress,Heavy bomber aircraft
2,C119,Fairchild C-119 Flying Boxcar,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=379,
3,R829,,,
4,SB17,Boeing B-17 Flying Fortress,https://en.wikipedia.org/wiki/Boeing_B-17_Flying_Fortress,Heavy bomber aircraft
5,SB29,Boeing B-29 Super Dumbo,https://en.wikipedia.org/wiki/Boeing_B-29_Superfortress_variants,Heavy bomber aircraft
6,C45,Beechcraft C-45 Expeditor,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=333,Utility/ Trainer
7,L05,,,
8,O54,,,
9,RB45,North American B-45 Tornado,https://en.wikipedia.org/wiki/North_American_B-45_Tornado,Strategic bomber
10,RF80,Lockheed RF-80 Shooting Star,http://www.spyflight.co.uk/rf80.htm,Fighter Jet
11,SA16,Grumman HU-16 Albatross,https://en.wikipedia.org/wiki/Grumman_HU-16_Albatross,Air-sea rescue flying boat
12,TQ6,,,
13,F51,North American F-51D Mustang,https://www.eaa.org/en/eaa-museum/museum-collection/aircraft-collection-folder/1944-north-american-f-51d-mustang---n3451d,Fighter Plane
14,LO5,,,
15,RC45,,,
16,T07,,,
17,T33,Lockheed T-33 Shooting Star ,https://en.wikipedia.org/wiki/Lockheed_T-33,Training Aircraft
18,WB29,Boeing B-29 Superfortress ,https://en.wikipedia.org/wiki/Boeing_B-29_Superfortress_variants,Weather Reconnaissance plane
19,C47,Douglas C-47 Skytrain,https://en.wikipedia.org/wiki/Douglas_C-47_Skytrain,Military transport aircraft
20,F86,North American F-86 Sabre,https://en.wikipedia.org/wiki/North_American_F-86_Sabre,Fighter Jet
21,RB17,Boeing B-17 Flying Fortress,https://en.wikipedia.org/wiki/List_of_Boeing_B-17_Flying_Fortress_variants,Transport/ training aircraft
22,RB44,Robinson R44,https://en.wikipedia.org/wiki/Robinson_R44,Light Utility Helicopter
23,B26,Martin B-26 Marauder,https://en.wikipedia.org/wiki/Martin_B-26_Marauder,Medium bomber
24,C54,Douglas C-54 Skymaster,https://en.wikipedia.org/wiki/Douglas_C-54_Skymaster,Military transport aircraft
25,F82,North American F-82 Twin Mustang,https://en.wikipedia.org/wiki/North_American_F-82_Twin_Mustang,Fighter Plane
26,H05,,,
27,RB29,Boeing B-29 Superfortress ,https://en.wikipedia.org/wiki/Boeing_B-29_Superfortress_variants#RB-29J_.28RB-29.2C_FB-29J.2C_F-13.2C_F-13A.29,Photo reconnaissance plane
28,RL29,,,
29,T06,,,
30,WS29,,,
31,B25,North American B-25 Mitchell,https://en.wikipedia.org/wiki/North_American_B-25_Mitchell,Medium bomber
32,F84,Republic F-84 Thunderjet,https://en.wikipedia.org/wiki/Republic_F-84_Thunderjet,Fighter - Bomber jet
33,F80,Lockheed P-80 Shooting Star,https://en.wikipedia.org/wiki/Lockheed_P-80_Shooting_Star,Fighter Jet
34,RB26,Douglas A-26 Invader,https://en.wikipedia.org/wiki/Douglas_A-26_Invader,Light bomber
35,RF51,North American P-51 Mustang,https://en.wikipedia.org/wiki/North_American_P-51_Mustang,Fighter Plane
36,VB17,Boeing B-17 Flying Fortress,https://en.wikipedia.org/wiki/List_of_Boeing_B-17_Flying_Fortress_variants,Transport Aircraft
37,C46,Curtiss C-46 Commando,https://en.wikipedia.org/wiki/Curtiss_C-46_Commando,Military transport aircraft
38,G26,,,
39,G29,,,
40,RB25,,,
41,TO6,,,
42,VC47,Douglas AC-47 Spooky,https://en.wikipedia.org/wiki/Douglas_AC-47_Spooky,Close Air Support Gunship
