KOREAN_ID,MSN_DATE,UNIT_ID,UNIT_ID_2,UNIT_ID_CODE,GROUP_OR_HIGHER_UNIT_ID,SQUADRON_ID,AIRFIELD_ID,LAUNCH_BASE,LAUNCH_COUNTRY,LAUNCH_LAT,LAUNCH_LONG,AC_TYPE,AC_DISPATCHED,AC_EFFECTIVE,AC_ABORT,AC_LOST_TO_EAC,AC_LOST_TO_AAA,AC_LOST_TO_UNKNOWN_EA,AC_LOST_TO_OTHER,AC_DAMAGED,KIA,WIA,MIA,EAC_CONFIRMED_DESTROYED,EAC_PROB_DESTROYED,TOTAL_TONS,ROCKETS,BULLETS
1,2/1/51,003BL,008BL,003BL008BL,,3rd Bombardment Group (Light),,,,,,B25,13,13,,,,,,,,,,,,25,10,74
2,6/28/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,21,21,,,,,,,4,,,,,28,,132
3,6/28/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,21,21,,,,,,,4,,,,,28,,132
4,6/29/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,18,18,,,,4,,,,,20,,,24,,113
5,6/29/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,18,18,,,,4,,,,,20,,,24,,113
6,6/30/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,21,21,,,,,,,,,,,,28,,132
7,6/30/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,21,21,,,,,,,,,,,,28,,132
8,7/2/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,20,20,,,1,1,,,,,,,,28,,126
9,7/3/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,14,14,,,1,,,,,,,,,18,,88
10,7/4/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,16,16,,,,,,,,,,,,21,,101
11,7/6/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,30,30,,,2,,,,2,1,,,,39,,189
12,7/7/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,17,17,,,,,,,,,,,,22,,107
13,7/8/50,003BL,,003BL,3rd Bombardment Group (Light),,G841,,,,,B26,25,17,8,,,,,,,,,,,45,,5
14,7/9/50,003BM,008BM,003BM008BM,3rd Bombardment Group (Light),8th Bomb Squadron (Light),G841,,,,,B26,10,10,,,,,,,,,,,,11,,4
15,7/9/50,003BM,013BM,003BM013BM,3rd Bombardment Group (Light),13th Bomb Squadron (Light),G841,,,,,B26,4,4,,,,,,,,,,,,6,,
16,7/10/50,003BL,008BL,003BL008BL,3rd Bombardment Group (Light),8th Bomb Squadron (Light),G841,,,,,B26,26,25,1,,,,,,1,,,,,35,,6
17,7/10/50,003BM,013BM,003BM013BM,3rd Bombardment Group (Light),13th Bomb Squadron (Light),G841,,,,,B26,22,22,,,,,,,,,,,,44,,
18,7/11/50,003BM,008BM,003BM008BM,3rd Bombardment Group (Light),8th Bomb Squadron (Light),G841,,,,,B26,20,20,,,,,,,,,,,,24,,
19,7/11/50,003BM,013BM,003BM013BM,3rd Bombardment Group (Light),13th Bomb Squadron (Light),G841,,,,,B26,18,16,2,,,,,,,,,,,10,,
20,7/12/50,003BM,008BM,003BM008BM,3rd Bombardment Group (Light),8th Bomb Squadron (Light),G841,,,,,B26,13,13,,,,,,,,,,,,22,,
21,7/12/50,003BM,013BM,003BM013BM,3rd Bombardment Group (Light),13th Bomb Squadron (Light),G841,,,,,B26,16,16,,,,,,,,,,,,26,,
22,7/13/50,003BM,008BM,003BM008BM,3rd Bombardment Group (Light),8th Bomb Squadron (Light),G841,,,,,B26,8,6,2,,,,,,,,,,,14,,
23,7/13/50,003BM,013BM,003BM013BM,3rd Bombardment Group (Light),13th Bomb Squadron (Light),G841,,,,,B26,8,8,,,,,,,,,,,,8,,
24,7/14/50,003BM,008BM,003BM008BM,3rd Bombardment Group (Light),8th Bomb Squadron (Light),G841,,,,,B26,9,5,4,,,,,,,,,,,8,,
