ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE,DAY,MONTH,YEAR,MISSION_DATE,City/Town,geometry,In_Land
2,433,174-51,98th Bomb Wing,B-29,1.0,,,,Changdo-ri,Marshalling yard,,CT 8462,52SCH8462,38.49881,127.66974,,,12,1000 GP,Visual,12000.0,,,19750,,Bombs fell on the east end of the tracks,0.01,Non-delay,12000.0,EXETER,1,6,1951,1951-06-01,Changdo-ri,POINT (127.66974 38.49881),True
3,433,174-51,307th Bomb Wing,B-29,,1.0,,,,Jettisoned,,,,38.93594352380953,126.78196876190476,,,2,2000 GP,Visual,,,,,,,0.01,Non-delay,4000.0,EXETER,1,6,1951,1951-06-01,North Korea,POINT (126.78196876190476 38.93594352380953),True
4,433,174-51,307th Bomb Wing,B-29,1.0,1.0,,,,Village,,YD 1594,51SYD1594,39.66879,125.50653,,,4,2000 GP,Visual,,,,21000 - 22500,,1 aircraft due to a bomb rack malfunction dropped half it's bomb load on an unidentified village at YD 1594,0.01,Non-delay,8000.0,EXETER,1,6,1951,1951-06-01,Seosam-ri,POINT (125.50653 39.66879),True
5,433,174-51,98th Bomb Wing,B-29,1.0,,,,Anju,Supply center,,YD 2987,51SYD2987,39.60215,125.66717,,,8,2000 GP,Visual,16000.0,,,21500,,,0.01,Non-delay,16000.0,EXETER,1,6,1951,1951-06-01,Anju-si,POINT (125.66717 39.60215),True
6,433,174-51,98th Bomb Wing,B-29,1.0,,,,Hamhung,Railroad bridge,,CV 7719,52SCK7719,39.91217,127.56091,,,8,2000 GP,Visual,16000.0,,,16000,,,0.01,Non-delay,16000.0,EXETER,1,6,1951,1951-06-01,Hamhung-si,POINT (127.56091 39.91217),True
7,433,174-51,307th Bomb Wing,B-29,1.0,1.0,,,Nam-chon-on-jom,Marshalling yards,,BT 7436,52SBH7436,38.24362,126.41753,,,8,2000 GP,Visual,,,Interdiction,14400,,Poor results. Bombs fell in open area.,0.01,Non-delay,16000.0,EXETER,1,6,1951,1951-06-01,Pyongsan County,POINT (126.41753 38.24362),True
8,433,174-51,98th Bomb Wing,B-29,3.0,,,,Sariwon,Marshalling yard,,YU 3966,51TYU3966,52.89048,126.55293,,,24,2000 GP,Visual,48000.0,,,18000 - 24600,,Excellent results. Bombs fell in the center and west edge of the yards.,0.01,Non-delay,48000.0,EXETER,1,6,1951,1951-06-01,Ushumun,POINT (126.55293 52.89048),True
9,433,174-51,98th Bomb Wing,B-29,7.0,,,1,Pyorha-ri,Railroad bridge,,BA 1419,52SBL1419,40.77223,125.61128,,,48,2000 GP,Visual,96000.0,,,15060 - 16000,,Excellent results,0.01,Non-delay,96000.0,EXETER,1,6,1951,1951-06-01,Green River Village,POINT (125.61128 40.77223),True
10,433,174-51,307th Bomb Wing,B-29,13.0,,1.0,,,Railroad Bridge,,YD 1993,51SYD1993,39.65877,125.55279,,,90,2000 GP,Visual,,,Interdiction,21000 - 22500,,Excellent results. Estimated 3 spans down. 1 aircraft due to a bomb rack malfunction dropped half it's bomb load on an unidentified village at YD 1594,0.01,Non-delay,180000.0,EXETER,1,6,1951,1951-06-01,Colonel Lee,POINT (125.55279 39.65877),True
11,433,174-51,98th Bomb Wing,B-29,4.0,,,,,Troop Concentrations,,CT 8725,52SCH8725,38.16582,127.71006,,,10,500 GP,Visual,,,,17000 - 18000,,"""Mostly unreported results, however, there were 17 flashes, one secondary fire, and one explosion observed.""",VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Hwacheon,POINT (127.71006 38.16582),True
12,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 1831,52SCH1831,38.20858,126.92125,,,10,500 GP,Visual,,,,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Baekrosanri,POINT (126.92125 38.20858),True
13,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 9829,52SCH9829,38.20318,127.83503,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Hwacheon,POINT (127.83503 38.20318),True
14,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 2336,52SCH2336,38.25461,126.97708,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Komsa-ri,POINT (126.97708 38.25461),True
15,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 2930,52SCH2930,38.20173,127.04706,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Sinseo-myeon,POINT (127.04706 38.20173),True
16,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 8924,52SCH8924,38.15706,127.73304,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Hwacheon,POINT (127.73304 38.15706),True
17,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 7627,52SCH7627,38.1824,127.58418,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Sangseo,POINT (127.58418 38.1824),True
18,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 7640,52SCH7640,38.29953,127.5819,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Jinhyeon-ri,POINT (127.5819 38.29953),True
19,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 7635,52SCH7635,38.25448,127.58278,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Sangseo,POINT (127.58278 38.25448),True
20,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,DT 1231,52SDH1231,38.22268,127.99466,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Bangsan-myeon,POINT (127.99466 38.22268),True
21,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,DT 3024,52SDH3024,38.16118,128.20096,,,10,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,5000.0,EXETER,1,6,1951,1951-06-01,Buk-myeon,POINT (128.20096 38.16118),True
22,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,DR 3158,52SDF3158,36.6651,128.22789,,,20,500 GP,Visual,,,Interdiction,17000 - 18000,,,VT,Non-delay,10000.0,EXETER,1,6,1951,1951-06-01,Mungyeong-si,POINT (128.22789 36.6651),True
23,433,174-51,98th Bomb Wing,B-29,4.0,1.0,,,,Troop Concentrations,,CT 7539,52SCH7539,38.29038,127.57065,,,30,500 GP,Visual,,,,17000 - 18000,,,VT,Non-delay,15000.0,EXETER,1,6,1951,1951-06-01,Geunnam-myeon,POINT (127.57065 38.29038),True
24,433,174-51,91st Strategic Recon Sq,,1.0,,,,BCA-31-5-1,Railroad bridge,,YD 1993,51SYD1993,39.65877,125.55279,,,,,,,,Recon,,,,,,,EXETER,1,6,1951,1951-06-01,Colonel Lee,POINT (125.55279 39.65877),True
25,433,174-51,91st Strategic Recon Sq,,,1.0,,,BCA-31-5-2,Railroad bridge,,BV 6744,52TBK6744,40.11406,126.266,,,,,,,,Recon,,,,,,,EXETER,1,6,1951,1951-06-01,Huichon-si,POINT (126.266 40.11406),True
26,433,174-51,91st Strategic Recon Sq,,,1.0,,,BCA-35-5-2,Railroad bridge,,XD 9195,51SXD9195,39.68349,125.22724,,,,,,,,Recon,,,,,,,EXETER,1,6,1951,1951-06-01,Chongju-si,POINT (125.22724 39.68349),True
27,433,174-51,91st Strategic Recon Sq,,,1.0,,,"""BCP-27-5-2, BCP-27-5-3, BCP-27-5-4, BCP-27-5-10, BCP-27-5-11, BCP-27-5-35, BCP-27-5-36, BCP-27-5-37, BCP-27-5-38, BCP-27-5-39, BCP-27-5-40""",,,,,38.93594352380953,126.78196876190476,,,,,,,,,,,Moderate haze prevailed over all Korea. 16 Mig-15's sighted at Pakcon YE1302 flyin in Northwesternly direction at 40000 ft.,,,,EXETER,1,6,1951,1951-06-01,North Korea,POINT (126.78196876190476 38.93594352380953),True
28,434,175-51,19th Bomb Group,B-29,3.0,,,,,Railroad by-pass bridge,,XD 7297,51SXD7297,39.70554,125.00633,,,36,1000 GP,Visual,,,Interdiction,16000 - 16500,,Excellent results. Bomb patteren covered the bridge.,0.1,Non-delay,36000.0,EXETER,2,6,1951,1951-06-02,Sentence Lee,POINT (125.00633 39.70554),True
29,434,175-51,19th Bomb Group,B-29,3.0,,,,,Railroad by-pass bridge,,XD 7297,51SXD7297,39.70554,125.00633,,,36,1000 GP,Visual,,,Interdiction,16000 - 16500,,Excellent results. Bomb patteren covered the bridge.,0.1,Non-delay,36000.0,EXETER,2,6,1951,1951-06-02,Sentence Lee,POINT (125.00633 39.70554),True
30,434,175-51,19th Bomb Group,B-29,1.0,,,,Yonghung,Railroad bridge,,CU 5078,52SCJ5078,39.53857,127.25447,,,4,2000 GP,Visual,,,Interdiction,10000,,Excellent results. Direct hits were scored on the bridge.,0.1,Non-delay,8000.0,EXETER,2,6,1951,1951-06-02,Kumya-up,POINT (127.25447 39.53857),True
31,434,175-51,19th Bomb Group,B-29,1.0,1.0,,,Yonghung,Marshalling yards,,CU 4977,52SCJ4977,39.52939,127.24307,,,4,2000 GP,Visual,,,Interdiction,10000,,Direct hits scored.,0.1,Non-delay,8000.0,EXETER,2,6,1951,1951-06-02,Jungnam-ri,POINT (127.24307 39.52939),True
32,434,175-51,19th Bomb Group,B-29,3.0,,,,,Railroad Bridge,,BA 8811,52SBL8811,40.72265,126.48985,,,24,2000 GP,Visual,,,Interdiction,15000 - 15500,,Excellent results. Bomb patteren covered the bridge.,0.1,Non-delay,48000.0,EXETER,2,6,1951,1951-06-02,Dongsan Labor Union,POINT (126.48985 40.72265),True
33,434,175-51,19th Bomb Group,B-29,3.0,,,,,Railroad Bridge,,BA 8811,52SBL8811,40.72265,126.48985,,,24,2000 GP,Visual,,,Interdiction,15000 - 15500,,Poor results. Bomb pattern 600 to 900 feet over. The course was good but the rate was off.,0.1,Non-delay,48000.0,EXETER,2,6,1951,1951-06-02,Dongsan Labor Union,POINT (126.48985 40.72265),True
34,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Jettisoned,,,,38.84397443548388,126.8448470967742,2650N,12740E,2,500 GP,,,,,,,,VT delay arming action,,1000.0,EXETER,2,6,1951,1951-06-02,North Korea,POINT (126.8448470967742 38.84397443548388),True
35,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,BT 9110,52SBH9110,38.01361,126.61924,,,3,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,1500.0,EXETER,2,6,1951,1951-06-02,Kaesong,POINT (126.61924 38.01361),True
36,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,BT 9718,52SBH9718,38.08702,126.68527,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,5000.0,EXETER,2,6,1951,1951-06-02,Kaesong,POINT (126.68527 38.08702),True
37,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,CT 8726,52SCH8726,38.17484,127.7099,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,5000.0,EXETER,2,6,1951,1951-06-02,Hwacheon,POINT (127.7099 38.17484),True
39,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,CT 0317,52SCH0317,38.07934,126.75391,,,16,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,8000.0,EXETER,2,6,1951,1951-06-02,Kaesong,POINT (126.75391 38.07934),True
40,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,CT 8927,52SCH8927,38.18409,127.73257,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,10000.0,EXETER,2,6,1951,1951-06-02,Hwacheon,POINT (127.73257 38.18409),True
41,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,CT6732,52SCH6732,38.22616,127.48051,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,10000.0,EXETER,2,6,1951,1951-06-02,Geunnam-myeon,POINT (127.48051 38.22616),True
42,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,CT 8722,52SCH8722,38.13879,127.71054,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,10000.0,EXETER,2,6,1951,1951-06-02,Hwacheon,POINT (127.71054 38.13879),True
43,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,CT 7237,52SCH7237,38.27193,127.53671,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,10000.0,EXETER,2,6,1951,1951-06-02,Geunnam-myeon,POINT (127.53671 38.27193),True
44,434,175-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop Concentrations,,CT 8329,52SCH8329,38.20136,127.66375,,,30,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,15000.0,EXETER,2,6,1951,1951-06-02,Sangseo,POINT (127.66375 38.20136),True
45,434,175-51,19th Bomb Group,B-29,5.0,,,,,Troop Concentrations,,CT 8727,52SCH8727,38.18385,127.70974,,,38,500 GP,Visual,,,Interdiction,18000,,Excellent results,VT delay arming action,,19000.0,EXETER,2,6,1951,1951-06-02,Hwacheon,POINT (127.70974 38.18385),True
